,time_steps,gpu_IEKS_std_seq_time,gpu_IEKS_std_par_time,gpu_IPLS_std_seq_time,gpu_IPLS_std_par_time
0,4.0,0.09818030118942261,0.05965922355651856,0.10475288391113281,0.054690275192260746
1,5.0,0.12080188989639282,0.06002658367156982,0.1301556086540222,0.06458761930465698
2,8.0,0.18851937770843505,0.07289965867996216,0.19879986047744752,0.07278294324874877
3,12.0,0.28272935152053835,0.08162330627441407,0.3192147731781006,0.08725406646728516
4,18.0,0.4173107647895813,0.09561316967010498,0.46232104778289795,0.09747047424316406
5,27.0,0.6241006207466125,0.10921781778335571,0.6606678152084351,0.10536424398422241
6,40.0,0.8894633293151856,0.11883307695388794,0.9722528791427613,0.12206031799316407
7,59.0,1.306349458694458,0.1232452654838562,1.4115372061729432,0.12405500650405883
8,87.0,1.9558858489990234,0.1408430814743042,2.1029785895347595,0.14812337160110473
9,128.0,2.9063142919540406,0.16761423110961915,3.0626674365997313,0.16656035900115967
