,time_steps,gpu_cubature_std_seq_mean_time,gpu_cubature_std_par_mean_time,gpu_cubature_sqrt_par_mean_time,gpu_cubature_sqrt_seq_mean_time,gpu_extended_std_seq_mean_time,gpu_extended_std_par_mean_time,gpu_extended_sqrt_par_mean_time,gpu_extended_sqrt_seq_mean_time
0,4.0,0.015844321250915526,0.00741635799407959,0.03614407300949097,0.13014625310897826,0.011879534721374511,0.0057170820236206055,0.019712920188903808,0.050688517093658444
1,8.0,0.030594654083251953,0.009773964881896973,0.04581456661224365,0.2573470878601074,0.023227856159210206,0.008041460514068604,0.029377593994140624,0.10078853607177735
2,18.0,0.06819031715393066,0.012520391941070557,0.054376919269561765,0.5777832102775574,0.05158259868621826,0.010477476119995117,0.03951586246490479,0.225942440032959
3,40.0,0.15096349477767945,0.015374438762664795,0.06720475912094116,1.278767111301422,0.11389065742492675,0.013783793449401855,0.04989442586898804,0.5058973693847656
4,87.0,0.32794074058532713,0.01839061260223389,0.07710079908370972,2.7716406202316284,0.24759206295013428,0.01629664182662964,0.060330567359924314,1.0884695720672608
5,188.0,0.7087276482582092,0.02246926784515381,0.09865954399108887,5.992056348323822,0.5343194127082824,0.020069918632507323,0.07527647018432618,2.3473423504829407
6,406.0,1.5292801260948181,0.028433613777160645,0.1304718565940857,12.943297684192657,1.1519191980361938,0.02516772747039795,0.10319668769836426,5.068892698287964
7,877.0,3.3166761302948,0.03601326465606689,0.17508628845214844,27.948376228809355,2.486581768989563,0.03114244222640991,0.13721031427383423,10.935337574481965
8,1896.0,7.170076892375946,0.05171873092651367,0.24497393608093262,60.304505789279936,5.374922201633454,0.042344255447387694,0.19316072702407838,23.501788544654847
9,4096.0,15.509089815616608,0.08611133337020874,0.3750935983657837,130.28277475118637,11.62447581768036,0.06849698305130004,0.30117857456207275,50.56671187877655
