,time_steps,gpu_IEKS_std_seq_time,gpu_IEKS_std_par_time,gpu_IPLS_std_seq_time,gpu_IPLS_std_par_time
0,4.0,0.041032164096832274,0.02076707363128662,0.082242431640625,0.027160377502441407
1,5.0,0.04995640516281128,0.021003246307373047,0.10197336912155151,0.02714726686477661
2,8.0,0.07757435083389282,0.029006133079528807,0.16072832584381103,0.0353936243057251
3,12.0,0.11467602014541627,0.033052022457122805,0.23876705884933472,0.03920989751815796
4,18.0,0.16995396852493286,0.03785659790039062,0.3560830283164978,0.04381577491760254
5,27.0,0.25218825817108154,0.041894738674163816,0.5310918784141541,0.04789911508560181
6,40.0,0.3725537538528442,0.047608566284179685,0.774239764213562,0.05403309106826782
7,59.0,0.5482054758071899,0.049905264377593996,1.1435294580459594,0.05597447395324707
8,87.0,0.8065689253807068,0.05668849468231201,1.6849530243873596,0.0627328610420227
9,128.0,1.1805182099342346,0.0659163761138916,2.4726599287986755,0.07199403762817383
